customer_id,signup_date,acquisition_channel,country,email_subscriber,persona_actual
C000001,2023-03-21,organic_search,US,True,Impulse Buyer
C000002,2023-04-30,direct,US,False,Window Shopper
C000003,2023-03-14,social,DE,True,Bargain Hunter
C000004,2023-02-08,direct,US,True,Window Shopper
C000005,2023-03-06,organic_search,UK,True,Gift Shopper
C000006,2023-01-14,organic_search,DE,False,Loyal Customer
C000007,2023-03-31,direct,US,True,Gift Shopper
C000008,2023-06-09,direct,AU,True,Impulse Buyer
C000009,2023-04-02,referral,DE,True,Impulse Buyer
C000010,2023-05-24,social,US,True,Window Shopper
C000011,2023-03-02,email,UK,False,Window Shopper
C000012,2023-05-27,organic_search,AU,True,Loyal Customer
C000013,2023-03-24,social,US,True,Window Shopper
C000014,2023-08-02,social,AU,False,Gift Shopper
C000015,2023-03-14,referral,UK,True,Bargain Hunter
C000016,2023-04-02,organic_search,US,True,Window Shopper
C000017,2023-05-30,organic_search,US,True,Bargain Hunter
C000018,2023-03-10,social,US,True,Bargain Hunter
C000019,2023-03-30,organic_search,AU,False,Loyal Customer
C000020,2023-06-20,organic_search,US,True,Bargain Hunter
C000021,2023-06-03,paid_search,CA,False,Window Shopper
C000022,2023-02-16,organic_search,US,True,Loyal Customer
C000023,2023-02-27,direct,UK,True,Bargain Hunter
C000024,2023-02-21,email,UK,True,Window Shopper
C000025,2023-08-21,referral,CA,True,Impulse Buyer
C000026,2023-04-01,paid_search,US,False,Bargain Hunter
C000027,2023-04-30,direct,US,True,Bargain Hunter
C000028,2023-02-16,email,US,True,Window Shopper
C000029,2023-07-23,paid_search,UK,True,Impulse Buyer
C000030,2023-03-25,organic_search,DE,True,Loyal Customer
C000031,2023-02-20,social,UK,True,Window Shopper
C000032,2023-05-13,organic_search,CA,True,Gift Shopper
C000033,2023-05-04,organic_search,AU,True,Window Shopper
C000034,2023-05-20,paid_search,US,True,Loyal Customer
C000035,2023-08-12,paid_search,UK,False,Impulse Buyer
C000036,2023-04-02,organic_search,AU,True,Window Shopper
C000037,2023-05-28,organic_search,CA,True,Loyal Customer
C000038,2023-05-12,organic_search,AU,True,Loyal Customer
C000039,2023-06-09,email,CA,True,Impulse Buyer
C000040,2023-04-12,social,UK,True,Loyal Customer
C000041,2023-03-06,organic_search,AU,False,Gift Shopper
C000042,2023-08-09,social,CA,True,Loyal Customer
C000043,2023-05-04,referral,AU,True,Window Shopper
C000044,2023-03-10,organic_search,US,False,Gift Shopper
C000045,2023-04-07,paid_search,US,False,Bargain Hunter
C000046,2023-01-15,social,UK,False,Loyal Customer
C000047,2023-05-07,organic_search,UK,True,Impulse Buyer
C000048,2023-06-02,organic_search,AU,True,Gift Shopper
C000049,2023-02-16,email,UK,True,Bargain Hunter
C000050,2023-03-11,direct,DE,True,Impulse Buyer
C000051,2023-05-01,email,CA,True,Impulse Buyer
C000052,2023-03-30,email,US,True,Bargain Hunter
C000053,2023-03-23,email,US,True,Bargain Hunter
C000054,2023-07-06,direct,US,True,Window Shopper
C000055,2023-06-10,social,UK,True,Impulse Buyer
C000056,2023-01-21,paid_search,US,True,Gift Shopper
C000057,2023-04-27,referral,UK,True,Loyal Customer
C000058,2023-05-18,email,AU,True,Impulse Buyer
C000059,2023-03-19,organic_search,DE,True,Bargain Hunter
C000060,2023-07-16,organic_search,US,True,Impulse Buyer
C000061,2023-03-30,email,DE,False,Impulse Buyer
C000062,2023-01-16,social,UK,True,Bargain Hunter
C000063,2023-01-26,email,UK,True,Window Shopper
C000064,2023-04-27,paid_search,US,False,Window Shopper
C000065,2023-07-28,direct,CA,False,Bargain Hunter
C000066,2023-04-09,organic_search,DE,False,Window Shopper
C000067,2023-04-13,email,US,False,Bargain Hunter
C000068,2023-03-13,paid_search,AU,True,Gift Shopper
C000069,2023-05-12,organic_search,US,True,Loyal Customer
C000070,2023-05-14,organic_search,US,False,Window Shopper
C000071,2023-03-30,referral,US,False,Bargain Hunter
C000072,2023-03-14,email,UK,True,Impulse Buyer
C000073,2023-05-05,paid_search,US,True,Window Shopper
C000074,2023-05-04,organic_search,DE,False,Bargain Hunter
C000075,2023-01-17,referral,US,False,Bargain Hunter
C000076,2023-04-26,organic_search,US,False,Window Shopper
C000077,2023-04-24,email,US,False,Impulse Buyer
C000078,2023-01-17,organic_search,AU,True,Bargain Hunter
C000079,2023-05-08,organic_search,UK,True,Bargain Hunter
C000080,2023-07-13,email,US,False,Impulse Buyer
C000081,2023-03-05,email,UK,True,Loyal Customer
C000082,2023-03-27,email,AU,True,Window Shopper
C000083,2023-05-26,direct,US,False,Window Shopper
C000084,2023-06-01,direct,UK,True,Bargain Hunter
C000085,2023-05-03,social,UK,False,Impulse Buyer
C000086,2023-03-26,social,DE,True,Bargain Hunter
C000087,2023-04-15,organic_search,UK,True,Gift Shopper
C000088,2023-03-07,organic_search,US,True,Window Shopper
C000089,2023-03-21,social,US,False,Window Shopper
C000090,2023-04-22,organic_search,UK,False,Window Shopper
C000091,2023-01-20,paid_search,AU,True,Impulse Buyer
C000092,2023-04-18,social,DE,True,Bargain Hunter
C000093,2023-04-20,social,US,True,Window Shopper
C000094,2023-05-26,organic_search,CA,True,Gift Shopper
C000095,2023-02-28,email,US,True,Bargain Hunter
C000096,2023-04-21,paid_search,CA,False,Bargain Hunter
C000097,2023-04-26,referral,US,True,Window Shopper
C000098,2023-03-15,social,US,True,Window Shopper
C000099,2023-04-22,email,AU,True,Bargain Hunter
C000100,2023-05-24,direct,US,True,Bargain Hunter
C000101,2023-04-06,direct,US,False,Window Shopper
C000102,2023-02-24,email,US,True,Loyal Customer
C000103,2023-02-26,social,UK,False,Bargain Hunter
C000104,2023-02-02,organic_search,US,True,Bargain Hunter
C000105,2023-04-26,paid_search,DE,True,Window Shopper
C000106,2023-01-12,direct,DE,True,Window Shopper
C000107,2023-05-14,social,CA,True,Impulse Buyer
C000108,2023-05-05,direct,UK,True,Window Shopper
