order_id,customer_id,session_id,order_date,num_items,subtotal,discount,total,returned
O00000001,C000001,S00000002,2023-07-20,3,402.33,0.0,402.33,False
O00000002,C000001,S00000004,2023-12-13,3,285.92,31.62,254.3,False
O00000003,C000001,S00000011,2023-08-18,3,542.62,0.0,542.62,False
O00000004,C000001,S00000029,2023-06-14,3,234.83,0.0,234.83,True
O00000005,C000001,S00000042,2023-07-15,3,394.52,0.0,394.52,False
O00000006,C000001,S00000044,2023-04-23,3,209.14,0.0,209.14,True
O00000007,C000001,S00000056,2023-11-04,3,323.79,15.26,308.53,False
O00000008,C000001,S00000063,2023-11-06,3,240.41,35.46,204.95,False
O00000009,C000002,S00000120,2023-10-04,1,60.74,0.0,60.74,False
O00000010,C000003,S00000136,2023-11-10,1,36.94,5.03,31.91,False
O00000011,C000005,S00000243,2023-08-12,4,298.54,0.0,298.54,False
O00000012,C000006,S00000246,2023-04-10,3,106.25,0.0,106.25,False
O00000013,C000006,S00000267,2023-06-08,3,147.22,0.0,147.22,False
O00000014,C000006,S00000270,2023-11-14,3,337.67,11.4,326.27,False
O00000015,C000006,S00000273,2023-09-16,3,319.89,0.0,319.89,False
O00000016,C000006,S00000275,2023-12-13,3,373.15,48.68,324.47,False
O00000017,C000006,S00000281,2023-03-03,3,142.89,0.0,142.89,False
O00000018,C000006,S00000282,2023-09-05,3,457.3,0.0,457.3,False
O00000019,C000006,S00000296,2023-05-01,3,151.28,0.0,151.28,False
O00000020,C000007,S00000309,2023-06-26,4,319.88,0.0,319.88,False
O00000021,C000008,S00000315,2023-11-11,3,326.37,4.98,321.39,True
O00000022,C000008,S00000319,2023-07-28,3,130.55,0.0,130.55,False
O00000023,C000008,S00000326,2023-08-15,3,186.35,0.0,186.35,True
O00000024,C000008,S00000348,2023-06-14,3,362.01,0.0,362.01,False
O00000025,C000009,S00000369,2023-10-31,3,206.08,0.0,206.08,False
O00000026,C000009,S00000371,2023-12-28,3,253.22,33.4,219.82,False
O00000027,C000009,S00000378,2023-07-30,3,281.07,0.0,281.07,False
O00000028,C000009,S00000379,2023-10-27,3,335.33,0.0,335.33,True
O00000029,C000009,S00000381,2023-12-23,3,238.51,7.25,231.26,False
O00000030,C000009,S00000392,2023-11-24,3,271.54,17.05,254.49,False
O00000031,C000009,S00000403,2023-07-18,3,230.63,0.0,230.63,True
O00000032,C000009,S00000406,2023-08-15,3,226.82,0.0,226.82,False
O00000033,C000010,S00000432,2023-12-03,1,56.76,5.66,51.1,False
O00000034,C000011,S00000517,2023-05-28,1,71.33,0.0,71.33,False
O00000035,C000012,S00000546,2023-09-02,3,229.77,0.0,229.77,False
O00000036,C000012,S00000551,2023-12-05,3,388.55,29.32,359.23,False
O00000037,C000012,S00000552,2023-06-18,3,387.45,0.0,387.45,False
O00000038,C000012,S00000553,2023-09-23,3,170.68,0.0,170.68,False
O00000039,C000012,S00000566,2023-09-09,3,188.78,0.0,188.78,False
O00000040,C000012,S00000567,2023-06-08,3,170.35,0.0,170.35,False
O00000041,C000012,S00000575,2023-11-15,3,254.61,48.96,205.65,False
O00000042,C000012,S00000577,2023-11-08,3,206.33,31.86,174.47,False
O00000043,C000012,S00000582,2023-06-22,3,344.56,0.0,344.56,True
O00000044,C000012,S00000583,2023-07-19,3,150.03,0.0,150.03,False
O00000045,C000015,S00000660,2023-07-06,1,38.6,0.0,38.6,False
O00000046,C000015,S00000662,2023-07-20,1,90.28,0.0,90.28,False
O00000047,C000017,S00000764,2023-12-22,1,193.25,34.45,158.8,False
O00000048,C000019,S00000834,2023-09-09,3,257.0,0.0,257.0,False
O00000049,C000019,S00000855,2023-10-28,3,272.52,0.0,272.52,False
O00000050,C000019,S00000856,2023-08-09,3,98.07,0.0,98.07,True
O00000051,C000019,S00000863,2023-08-14,3,219.17,0.0,219.17,False
O00000052,C000019,S00000864,2023-10-13,3,146.76,0.0,146.76,False
O00000053,C000019,S00000865,2023-10-14,3,152.59,0.0,152.59,False
O00000054,C000019,S00000871,2023-06-17,3,431.2,0.0,431.2,False
O00000055,C000020,S00000878,2023-12-22,1,48.54,4.03,44.51,False
O00000056,C000021,S00000940,2023-06-27,1,54.42,0.0,54.42,False
O00000057,C000022,S00000948,2023-10-23,3,219.45,0.0,219.45,False
O00000058,C000022,S00000952,2023-06-04,3,366.62,0.0,366.62,False
O00000059,C000022,S00000955,2023-07-06,3,193.68,0.0,193.68,True
O00000060,C000022,S00000962,2023-06-05,3,286.84,0.0,286.84,False
O00000061,C000022,S00000964,2023-09-03,3,290.84,0.0,290.84,False
O00000062,C000022,S00000972,2023-10-30,3,196.44,0.0,196.44,False
O00000063,C000022,S00000973,2023-09-25,3,222.54,0.0,222.54,False
O00000064,C000022,S00000982,2023-07-26,3,280.02,0.0,280.02,False
O00000065,C000022,S00000997,2023-04-08,3,273.86,0.0,273.86,False
O00000066,C000022,S00000998,2023-09-30,3,172.06,0.0,172.06,False
O00000067,C000023,S00001017,2023-11-04,1,178.33,13.91,164.42,False
O00000068,C000025,S00001119,2023-09-14,3,315.52,0.0,315.52,False
O00000069,C000025,S00001126,2023-09-12,3,313.4,0.0,313.4,True
O00000070,C000025,S00001139,2023-12-20,3,353.67,2.78,350.89,False
O00000071,C000026,S00001168,2023-07-18,1,108.35,0.0,108.35,False
O00000072,C000026,S00001178,2023-11-07,1,43.18,8.43,34.75,False
O00000073,C000027,S00001208,2023-11-21,1,113.31,18.37,94.94,False
O00000074,C000028,S00001231,2023-11-07,1,101.85,16.31,85.54,False
O00000075,C000029,S00001301,2023-08-19,3,421.33,0.0,421.33,False
O00000076,C000029,S00001309,2023-08-05,3,191.19,0.0,191.19,False
O00000077,C000029,S00001313,2023-10-28,3,297.06,0.0,297.06,False
O00000078,C000029,S00001319,2023-11-04,3,196.96,37.29,159.67,True
O00000079,C000030,S00001326,2023-04-03,3,183.34,0.0,183.34,False
O00000080,C000030,S00001341,2023-08-22,3,184.65,0.0,184.65,False
O00000081,C000030,S00001358,2023-10-17,3,352.04,0.0,352.04,False
O00000082,C000030,S00001361,2023-11-14,3,146.54,10.84,135.7,False
O00000083,C000030,S00001371,2023-10-13,3,233.78,0.0,233.78,True
O00000084,C000032,S00001451,2023-11-14,4,403.97,68.38,335.59,False
O00000085,C000032,S00001453,2023-10-14,4,207.65,0.0,207.65,False
O00000086,C000033,S00001489,2023-05-16,1,95.79,0.0,95.79,False
O00000087,C000033,S00001509,2023-08-12,1,22.53,0.0,22.53,False
O00000088,C000033,S00001511,2023-12-28,1,95.36,14.9,80.46,False
O00000089,C000034,S00001516,2023-12-12,3,308.72,37.86,270.86,False
O00000090,C000034,S00001524,2023-11-14,3,136.7,25.75,110.95,False
O00000091,C000034,S00001525,2023-10-06,3,322.41,0.0,322.41,False
O00000092,C000034,S00001528,2023-10-21,3,120.97,0.0,120.97,False
O00000093,C000034,S00001529,2023-07-03,3,490.03,0.0,490.03,False
O00000094,C000034,S00001536,2023-07-14,3,218.62,0.0,218.62,False
O00000095,C000034,S00001541,2023-07-25,3,210.89,0.0,210.89,False
O00000096,C000034,S00001542,2023-10-09,3,390.44,0.0,390.44,False
O00000097,C000035,S00001558,2023-11-09,3,306.8,3.97,302.83,False
O00000098,C000036,S00001631,2023-07-20,1,61.24,0.0,61.24,False
O00000099,C000037,S00001649,2023-07-27,3,232.05,0.0,232.05,False
O00000100,C000037,S00001653,2023-05-31,3,376.8,0.0,376.8,False
O00000101,C000037,S00001666,2023-08-26,3,361.16,0.0,361.16,False
O00000102,C000037,S00001667,2023-09-15,3,383.75,0.0,383.75,False
O00000103,C000037,S00001668,2023-10-31,3,154.12,0.0,154.12,False
O00000104,C000037,S00001679,2023-12-19,3,368.6,60.54,308.06,False
O00000105,C000038,S00001691,2023-12-19,3,275.95,6.45,269.5,False
O00000106,C000038,S00001693,2023-07-26,3,301.05,0.0,301.05,False
O00000107,C000038,S00001699,2023-07-19,3,280.6,0.0,280.6,False
O00000108,C000038,S00001718,2023-11-13,3,159.11,13.0,146.11,True
O00000109,C000038,S00001719,2023-05-22,3,229.11,0.0,229.11,False
O00000110,C000038,S00001721,2023-06-23,3,284.05,0.0,284.05,True
O00000111,C000039,S00001746,2023-08-10,3,87.72,0.0,87.72,False
O00000112,C000039,S00001750,2023-11-16,3,196.48,33.96,162.52,True
O00000113,C000040,S00001766,2023-12-06,3,180.81,28.94,151.87,False
O00000114,C000040,S00001768,2023-08-22,3,297.78,0.0,297.78,False
O00000115,C000040,S00001771,2023-11-27,3,231.87,43.23,188.64,False
O00000116,C000040,S00001777,2023-06-09,3,123.31,0.0,123.31,False
O00000117,C000040,S00001780,2023-06-12,3,352.89,0.0,352.89,False
O00000118,C000040,S00001795,2023-10-16,3,189.09,0.0,189.09,False
O00000119,C000040,S00001796,2023-08-21,3,245.83,0.0,245.83,False
O00000120,C000040,S00001798,2023-04-14,3,186.82,0.0,186.82,False
O00000121,C000040,S00001804,2023-11-08,3,161.96,23.21,138.75,False
O00000122,C000041,S00001810,2023-12-23,4,568.54,41.04,527.5,False
O00000123,C000041,S00001811,2023-04-06,4,321.43,0.0,321.43,False
O00000124,C000042,S00001828,2023-12-11,3,171.13,15.87,155.26,False
O00000125,C000042,S00001833,2023-09-18,3,243.94,0.0,243.94,True
O00000126,C000043,S00001881,2023-09-30,1,85.07,0.0,85.07,False
O00000127,C000046,S00001951,2023-04-01,3,230.35,0.0,230.35,False
O00000128,C000046,S00001954,2023-05-08,3,308.38,0.0,308.38,False
O00000129,C000046,S00001955,2023-02-17,3,414.66,0.0,414.66,False
O00000130,C000046,S00001956,2023-10-24,3,732.73,0.0,732.73,False
